# object, x, y, z, voltage
3.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-5.000000000000000000e+00,7.765513658523599816e-02
0.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-4.000000000000000000e+00,9.387105703353899877e-02
1.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-4.000000000000000000e+00,6.330774724483499705e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-4.000000000000000000e+00,9.429108351468999671e-02
3.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-4.000000000000000000e+00,8.564930409193000083e-02
0.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,9.702296555042300152e-02
1.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,6.541164219379400069e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,9.674444049596800377e-02
3.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,9.320161491632500406e-02
0.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-2.000000000000000000e+00,9.781260043382600244e-02
1.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-2.000000000000000000e+00,6.651537120342300435e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-2.000000000000000000e+00,9.655757248401600212e-02
3.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-2.000000000000000000e+00,9.967237710952800422e-02
