# x,y,z,Ex,Ey,Ez
-1.250212499999999949e+00,-9.757205600000000700e+00,-1.298381200000000035e+01,-2.330979799999999789e-03,-2.099553499999999920e-02,-2.673783199999999957e-02
-7.502124999999999488e-01,-9.757205600000000700e+00,-1.298381200000000035e+01,-1.259347799999999910e-03,-2.109400200000000059e-02,-2.688186999999999868e-02
-2.502125000000000044e-01,-9.757205600000000700e+00,-1.298381200000000035e+01,-1.738238800000000133e-04,-2.113436900000000007e-02,-2.693964000000000081e-02
2.497874999999999956e-01,-9.757205600000000700e+00,-1.298381200000000035e+01,9.168824199999999966e-04,-2.110841899999999979e-02,-2.691876099999999938e-02
7.497875000000000512e-01,-9.757205600000000700e+00,-1.298381200000000035e+01,1.991223099999999899e-03,-2.101338999999999985e-02,-2.680452399999999971e-02
1.249787500000000051e+00,-9.757205600000000700e+00,-1.298381200000000035e+01,3.043930299999999915e-03,-2.085775100000000076e-02,-2.660615599999999886e-02
1.749787500000000051e+00,-9.757205600000000700e+00,-1.298381200000000035e+01,4.069374399999999871e-03,-2.064790799999999954e-02,-2.633780800000000075e-02
2.249787500000000051e+00,-9.757205600000000700e+00,-1.298381200000000035e+01,5.059135099999999795e-03,-2.038431699999999902e-02,-2.599676299999999912e-02
2.749787500000000051e+00,-9.757205600000000700e+00,-1.298381200000000035e+01,6.005820400000000392e-03,-2.006922800000000146e-02,-2.559325100000000089e-02
3.249787500000000051e+00,-9.757205600000000700e+00,-1.298381200000000035e+01,6.904322200000000131e-03,-1.970190000000000136e-02,-2.512259000000000020e-02
3.749787500000000051e+00,-9.757205600000000700e+00,-1.298381200000000035e+01,7.745113199999999719e-03,-1.928716000000000111e-02,-2.459328800000000134e-02
4.249787500000000051e+00,-9.757205600000000700e+00,-1.298381200000000035e+01,8.523496800000000470e-03,-1.883478499999999972e-02,-2.401088900000000054e-02
4.749787500000000051e+00,-9.757205600000000700e+00,-1.298381200000000035e+01,9.242368900000000678e-03,-1.835473099999999913e-02,-2.339900300000000155e-02
